what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543154665
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411543157989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543178414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543201546
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411543222489
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543241376
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411543244102
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543254665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411543313710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411543316498
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411543318196
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411543363408
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411543398508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543399661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543401004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543401437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543401546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543406777
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411543410705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543452638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411543464818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411543482404
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1411543610225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543623761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411543658719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411543664281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544494923
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411544569068
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411544572488
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411544589453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411544589661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1411544589994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411544600484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544603333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544613271
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1411544614694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544618456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544623043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544658703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544665112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544667025
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544668064
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411544668769
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411544671147
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1411544678994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1411544684562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544685831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411544692915
